673 4325 12827 46157
jurong,0,1
go,16,163
point,0,11
until,4,20
u,111,536
wif,0,24
oni,0,3
joking,0,3
lar,0,32
ok,3,223
text,76,34
in,55,532
fa,2,0
final,12,2
2,113,210
free,129,37
2005,3,0
21st,2,1
txt,105,12
question,5,12
comp,7,2
rate,8,1
s,58,297
cup,5,3
a,238,612
t,50,219
wkly,11,0
08452810075over18,2,0
c,33,47
std,7,0
tkts,4,0
win,58,3
may,4,18
entry,18,0
receive,24,3
apply,12,2
to,352,905
87121,2,0
already,1,69
then,6,169
early,0,26
dun,0,43
so,20,304
say,0,71
hor,0,2
think,1,84
goes,0,15
i,31,1508
usf,0,7
nah,0,10
don,5,97
he,0,128
word,15,7
chgs,1,0
still,4,98
week,40,45
and,84,468
darling,2,2
now,151,232
xxx,9,19
hey,5,92
for,145,317
freemsg,14,0
it,20,402
there,14,148
like,7,161
back,14,82
been,33,65
d,3,64
send,52,92
fun,6,16
you,180,988
3,14,37
no,38,226
tb,1,1
up,17,192
some,5,74
even,4,34
me,18,488
they,13,77
is,108,446
brother,1,14
my,10,421
not,14,320
patent,0,1
treat,0,13
aids,0,1
with,75,169
speak,10,16
oru,0,3
copy,0,9
melle,0,3
set,1,15
friends,5,26
callertune,0,5
per,27,10
nurungu,0,3
your,180,249
minnaminunginte,0,3
vettam,0,3
as,28,84
has,27,56
press,2,7
request,1,5
callers,0,5
9,1,20
all,21,162
valid,21,0
winner,15,0
prize,53,0
kl341,2,0
claim,77,0
reward,6,0
hours,4,14
code,25,1
customer,36,8
12,4,4
receivea,2,0
selected,23,3
only,60,97
valued,10,2
￾900,7,0
call,229,138
have,109,297
network,20,2
09061701461,2,0
latest,27,2
colour,11,4
08002986030,2,0
more,23,50
entitled,5,0
had,12,59
11,9,4
the,133,616
r,23,95
on,83,263
mobile,77,8
or,119,156
mobiles,10,0
co,30,2
camera,23,2
months,3,5
update,10,4
stuff,1,25
talk,3,35
want,24,104
home,1,128
this,59,174
tonight,2,31
be,34,208
m,19,280
about,7,100
gonna,0,38
anymore,0,8
soon,3,38
six,3,0
chances,2,0
from,93,107
20,4,5
cash,45,3
100,13,0
our,68,46
won,65,18
urgent,55,5
1,44,43
membership,1,2
￾100,19,0
blessing,0,1
granted,0,1
breather,0,1
wont,0,23
right,2,66
will,30,233
words,0,17
searching,0,5
fulfil,0,1
promise,0,6
ve,8,58
take,12,90
thank,1,22
at,16,258
times,0,15
help,11,19
wonderful,0,10
date,9,7
sunday,0,8
use,8,31
xxxmobilemovieclub,1,0
credit,6,1
here,6,81
k,0,92
oh,1,85
watching,0,28
make,12,54
how,5,218
remember,0,23
his,1,44
v,4,39
wet,2,3
naughty,0,6
yes,14,68
spell,0,3
did,2,85
eh,0,8
name,12,26
gota,0,1
its,5,152
way,1,59
that￾￾s,0,4
if,23,214
feel,0,38
b,9,48
fine,0,35
news,8,4
87077,5,0
england,6,0
try,6,34
goals,2,0
team,3,2
miss,3,47
macedonia,1,0
dont,7,98
ur,102,143
wales,1,2
eg,8,0
national,5,0
that,21,366
seriously,0,3
going,3,136
ha,0,10
i￾￾￾m,0,4
first,5,40
pay,1,20
stock,0,4
da,0,111
￾_,0,89
comin,0,10
when,11,181
lunch,0,29
down,1,37
lor,0,126
smth,0,12
ard,0,19
str,1,3
finish,0,35
aft,0,19
meet,8,55
sooner,0,2
can,22,274
alright,0,21
ffffffffff,0,1
pizza,0,7
slice,0,2
really,1,63
tho,0,13
hungry,1,11
just,57,199
sick,0,9
knows,1,6
myself,0,8
forced,0,1
mark,0,6
lol,0,63
turn,0,3
sucks,0,3
eat,0,28
worried,0,10
getting,4,36
convincing,0,2
always,0,42
are,61,268
tea,0,6
an,16,55
love,8,97
bus,0,25
eating,0,6
egg,0,4
over,13,37
do,18,243
catch,0,8
dinner,0,22
frying,0,2
left,1,18
mom,0,9
re,12,61
we,43,210
car,0,30
amp,0,38
packing,0,1
work,2,70
ahhh,0,1
vaguely,0,1
does,3,25
what,15,201
wait,2,45
clear,0,2
but,5,292
got,5,167
caught,0,3
yeah,1,64
n,6,79
doing,0,60
out,43,134
was,6,133
too,1,82
spoilt,0,1
apologetic,0,1
till,2,9
cheers,0,6
badly,0,1
she,0,87
actin,0,1
child,1,2
fallen,0,1
anything,0,53
tell,12,95
cuppa,0,1
fear,0,3
quick,0,4
of,77,333
fainting,0,1
housework,0,1
thanks,15,41
ringtone,27,0
by,27,76
￾5,2,0
subscription,4,0
reply,71,28
confirm,1,9
charged,3,0
please,38,50
replying,6,2
uk,44,1
month,7,18
8am,0,1
2nd,11,9
look,0,26
again,3,42
yup,0,37
timings,0,1
msg,46,41
xuhui,0,3
learn,1,5
her,5,68
lesson,0,15
oops,0,9
see,15,92
letter,0,3
decide,0,7
invite,0,2
tomo,0,18
saturday,2,7
texting,1,5
decided,0,9
hello,4,32
trying,13,19
pls,5,71
great,6,68
watts,0,1
ahead,0,4
weekend,4,17
abiola,0,6
wanted,0,18
sure,0,44
forget,2,13
08000930705,14,0
tried,16,3
nokia,34,1
tomorrow,10,50
burns,1,1
07732584351,1,0
camcorder,13,0
rodger,1,0
sms,29,8
delivery,18,0
who,30,28
seeing,0,13
well,5,75
endowed,0,1
hope,4,63
gt,0,163
man,0,33
lt,0,163
inches,0,3
am,9,165
missed,2,16
calls,9,7
messages,10,10
get,70,197
immunisation,0,1
hep,0,1
didn,0,30
nigeria,0,5
fair,0,3
enough,2,14
hopefully,0,4
sucker,0,1
kept,3,4
telling,0,12
weak,0,3
hospital,0,10
know,19,148
suckers,0,1
stubborn,0,1
hospitals,0,2
thinked,0,1
saw,0,23
time,16,143
class,1,34
gram,0,1
usually,0,6
runs,0,3
x,8,21
fyi,0,5
crashing,0,1
morning,0,56
ride,0,4
place,5,36
wow,2,9
realized,0,2
accomodations,0,1
thought,1,33
liked,0,7
embarassed,0,1
were,4,40
never,1,32
sptv,1,0
incorrect,1,0
wings,1,0
play,10,14
red,1,4
devils,1,0
detroit,1,1
ac,8,0
correct,4,5
ice,1,7
new,59,51
end,6,18
hockey,1,1
jersey,1,0
find,29,33
url,0,4
sherawat,0,1
mallika,0,1
yesterday,3,16
pass,4,6
cinema,3,3
congrats,9,7
suprman,3,0
special,19,15
year,5,33
yours,11,6
09061209465,3,0
sorry,3,125
reached,0,9
where,1,86
odi,0,2
gauti,0,1
sehwag,0,1
series,0,4
pick,2,52
killing,0,1
burger,1,1
yourself,1,14
move,0,9
pain,0,22
situation,0,7
good,8,172
girls,3,9
joke,0,6
seekers,0,1
iq,0,3
checking,0,7
part,9,14
roommates,0,2
forever,0,7
took,0,14
cut,0,9
dresser,0,3
said,0,67
check,2,28
short,0,8
double,8,5
hair,0,18
nice,0,40
wun,0,7
valuable,0,3
dedicate,0,2
today,16,102
dedicated,0,2
day,13,132
rply,3,6
frnds,0,8
song,2,6
which,5,37
trip,4,11
trav,2,0
eurodisinc,2,0
complimentary,10,0
awarded,30,0
divorce,1,1
comes,3,13
barbie,1,0
ken,1,0
hear,2,18
give,5,60
plane,0,3
money,3,37
hee,0,10
wah,0,4
save,2,5
lucky,6,8
finished,0,16
wanna,9,23
xx,3,9
im,4,52
hi,16,87
something,0,50
babe,7,50
performed,0,1
once,0,23
waiting,14,21
machan,0,3
gentleman,0,3
thats,0,29
cool,2,31
dignity,0,3
respect,0,5
very,1,48
peoples,0,1
much,1,77
shy,1,2
pa,0,26
after,3,59
operate,0,1
earn,0,1
job,0,35
ta,1,5
looking,9,17
same,1,32
ah,0,29
stop,64,25
next,12,32
later,0,59
done,4,32
one,8,111
yo,1,31
used,0,11
tickets,3,6
multis,0,1
jacket,0,1
need,5,105
real,13,17
requests,1,2
nitros,0,1
came,1,19
coins,0,3
started,0,11
bed,0,17
factory,0,1
gotta,0,9
kano,0,5
ela,0,2
close,4,8
you￾￾￾ll,0,1
don￾￾￾t,0,4
stand,0,6
any,21,71
night,2,74
stuff42moro,0,1
sheets,0,3
late,1,39
spent,0,7
includes,0,1
afternoon,0,25
means,0,22
another,0,22
haven,1,15
casualty,0,1
y,0,36
trouble,0,7
sum1,0,2
smile,0,19
hurts,0,5
smiling,0,12
becoz,0,3
rain,0,6
someone,13,31
pleasure,0,3
pours,0,1
loves,0,6
￾1000,26,0
9pm,2,0
￾5000,16,0
service,49,1
representative,9,0
6031,2,0
169,2,0
0800,9,0
guaranteed,45,0
between,9,20
10am,5,0
havent,0,17
show,4,14
lido,0,3
e,4,65
530,0,5
planning,0,5
buy,5,50
fml,2,2
simply,3,2
password,3,2
britney,2,0
collected,2,1
verify,3,0
85069,2,0
mix,3,0
usher,2,0
wat,0,90
movie,2,14
abt,0,19
telugu,0,2
loads,1,8
loans,1,1
prob,0,15
cause,0,15
beforehand,0,1
four,1,2
wk,18,4
bit,0,29
forgot,0,26
run,0,13
hols,2,1
hairdressers,0,1
ham,0,1
